tactic_id,node_number,node_id,local_key,node_type,title,contracts,source_line
CT15,21,CT15.N21,chargeroute,consumer_handoff,CT 4 — charging,S-Trig,4197
CT16,1,CT16.N01,input,definition,Definition — delocalized distinguishing structure X⊆ Z,S-Def,4302
CT16,2,CT16.N02,whole,decision,Dichotomy lemma — is Z=G?,S-Dich,4303
CT16,3,CT16.N03,proper,payload_constructor,Payload lemma — build P_16→3 — proper-piece context,S-Rout,4304
CT16,4,CT16.N04,replace,consumer_handoff,CT 3 — external types,S-Trig,4305
CT16,5,CT16.N05,closedtype,definition,Definition — exact closed type for the whole object,S-Def,4306
CT16,6,CT16.N06,compute,decision,Lemma — closed-type computation,S-Dich,4307
CT16,7,CT16.N07,scopebad,scope_audit,Scope candidate — closed type not finite — scope audit,A-Scope,4308
CT16,8,CT16.N08,equal,decision,Lemma — are the closed data literally equal?,S-Dich,4309
CT16,9,CT16.N09,distinct,residual_record,Payload record — P_16→10: distinct closed type,S-Def,4310
CT16,10,CT16.N10,defaultlemma,assertion,Lemma — P_16→10 satisfies CT10 trigger,S-Prove|S-Trig,4311
CT16,11,CT16.N11,defaultroute,consumer_handoff,CT 10 — refinement,S-Trig,4312
CT16,12,CT16.N12,idlemma,assertion,Lemma — exact-type identification,S-Prove,4313
CT16,13,CT16.N13,out,certificate,C2 — whole-object identification,A-Cert|S-Equiv|S-Pers|S-Meas,4314
CT17,1,CT17.N01,input,definition,Definition — sparse target set and bounded local offset family,S-Def,4407
CT17,2,CT17.N02,compatible,decision,Lemma — offsets are realizable in the same branch state?,S-Dich,4408
CT17,3,CT17.N03,scopebad,scope_audit,Scope candidate — no bounded offsets — scope audit,A-Scope,4409
CT17,4,CT17.N04,block,assertion,Lemma — one structural event yields the translate x+,S-Prove,4410
CT17,5,CT17.N05,compres,residual_record,Payload record — incompatible completion classes,S-Def,4411
CT17,6,CT17.N06,scale,decision,Scale-split theorem — finite range or repeated increments?,S-Dich,4412
CT17,7,CT17.N07,compchoice,decision,Routing theorem — which separation data exists?,S-Dich,4413
CT17,8,CT17.N08,typelemma,payload_constructor,Payload lemma — build P_17→3 — type separation,S-Rout,4414
CT17,9,CT17.N09,labellemma,payload_constructor,Payload lemma — build P_17→10 — label separation,S-Rout,4415
CT17,10,CT17.N10,finite,assertion,Lemma — finite survivor-list certificate,S-Prove,4416
CT17,11,CT17.N11,typeroute,consumer_handoff,CT 3 — external types,S-Trig,4417
CT17,12,CT17.N12,labelroute,consumer_handoff,CT 10 — refinement,S-Trig,4418
CT17,13,CT17.N13,empty,decision,Lemma — is the finite survivor list empty?,S-Dich,4419
CT17,14,CT17.N14,targetclose,certificate,C5 — finite survivors exhausted,A-Cert|S-Comp,4420
CT17,15,CT17.N15,finitelemma,payload_constructor,Payload lemma — build P_17→8 — finite survivors,S-Rout,4421
CT17,16,CT17.N16,finitefig,consumer_handoff,CT 8 — pumping,S-Trig,4422
CT17,17,CT17.N17,orbit,assertion,"Lemma — orbit, interval, or order criterion",S-Prove,4423
CT17,18,CT17.N18,arithq,decision,Lemma — does the arithmetic criterion rule out all blocks?,S-Dich,4424
CT17,19,CT17.N19,arithclose,certificate,C1 — arithmetic target hit,A-Cert|S-Equiv,4425
CT17,20,CT17.N20,masslemma,payload_constructor,Payload lemma — build P_17→14 — arithmetic mass,S-Rout,4426
CT17,21,CT17.N21,arith,consumer_handoff,CT 14 — aggregate closure,S-Trig,4427
